Id,name,followers,popularity,genres,chart_hits,top_chart
0W6YzWeMAORHYzwdGsU1Y2,ЛЯЛЬКА,9025.0,35,['zhenskiy rep'],"['ru (1)', 'ua (1)']",ru
7siPnM6FjNP8KnXO5YDwAH,Mente Fuerte,175840.0,53,"['greek hip hop', 'greek pop', 'greek trap']","['cy (8)', 'gr (34)']",gr
02qlwM8fpqep7vX8KKEFmK,LA Vision,7721.0,51,[],"['at (1)', 'cz (1)', 'ee (1)', 'fi (1)', 'de (1)', 'hu (1)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'pl (1)', 'sk (1)', 'ch (1)']",at
7wU2WGCJ8HxkekHHE2QLul,Fuego,253571.0,67,"['latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino']","['ar (3)', 'bo (2)', 'cl (2)', 'co (3)', 'cr (2)', 'do (4)', 'ec (3)', 'sv (2)', 'fr (1)', 'gt (2)', 'hn (2)', 'it (1)', 'lu (1)', 'mx (1)', 'ni (2)', 'pa (3)', 'py (2)', 'pe (2)', 'es (6)', 'uy (4)']",es
7ciBW1p3KBsYIkFk4UmwS8,The Rudeboyz,14451.0,51,['trap brasileiro'],"['ar (1)', 'bo (1)', 'cl (2)', 'co (2)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'mt (1)', 'mx (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (1)', 'uy (1)']",cl
3N7PAaiIBEDfL6y6Rwso48,Martin Stenmarck,25787.0,37,"['classic swedish pop', 'europop', 'swedish pop']",['se (3)'],se
2l35CQqtYRh3d8ZIiBep4v,MKTO,995449.0,66,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']","['us (3)', 'gb (2)', 'au (5)', 'at (1)', 'be (2)', 'bo (1)', 'br (2)', 'bg (2)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cz (3)', 'dk (2)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (2)', 'fi (2)', 'fr (1)', 'de (1)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (3)', 'hu (3)', 'is (2)', 'ie (2)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (4)', 'mt (2)', 'nl (3)', 'nz (5)', 'ni (1)', 'no (3)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (3)', 'pl (2)', 'pt (2)', 'sg (3)', 'sk (2)', 'za (1)', 'se (3)', 'ch (3)', 'tw (3)', 'tr (3)', 'ae (1)', 'uy (1)']",au
62nVRNDLaS8m1p31F6omGw,José Madero,301455.0,62,['mexican indie'],"['bo (1)', 'ec (1)', 'mx (2)']",mx
6TYimByryGphZCtwYopH0y,Lauana Prado,2705362.0,69,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (7)'],br
6FJeuwLBCX8VSTf6hp1Vc9,Lege-Cy,345340.0,47,"['egyptian hip hop', 'egyptian trap']",['eg (14)'],eg
