,id,name,followers,popularity,genres,chart_hits,top_chart
18,1kW6jqgrymK0l58M3OqVMz,Geva Alon,33509.0,33,['israeli rock'],['il (1)'],il
19,4I7D65YMlr6ZxVEGPb7q2K,Johannes Oerding,572231.0,56,"['german pop', 'german pop rock']",['de (1)'],de
20,2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,2772959.0,79,"['reggaeton', 'trap latino']","['ar (3)', 'bo (6)', 'cl (19)', 'co (6)', 'cr (5)', 'do (10)', 'ec (5)', 'sv (5)', 'gt (6)', 'hn (5)', 'mx (2)', 'ni (3)', 'pa (8)', 'py (5)', 'pe (4)', 'pt (1)', 'es (4)', 'ch (1)', 'uy (4)', 'ad (2)']",cl
21,0t6A5IoqSxQzxmMoDkS9Cv,Hemso,73273.0,48,"['german hip hop', 'german underground rap']","['at (1)', 'de (4)', 'ch (1)']",de
22,3tZdknQnzsVIIdaGCTj4RX,Quimico Ultra Mega,240199.0,58,"['dembow', 'dominican pop', 'rap dominicano', 'trap dominicano', 'trap latino']","['do (6)', 'pe (1)']",do
23,0hprEC0nsWuQPSHag1O2Vi,Gareth Emery,286740.0,58,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance', 'uplifting trance']",,
24,0WZOmdnCln6FK6GM9e2tGm,Redimi2,1870745.0,63,"['latin christian', 'latin worship', 'rap conciencia', 'rap cristiano']","['do (1)', 'gt (5)']",gt
25,1B0Rp4SWGnFgGCPU5Pju6E,Nego do Borel,2576359.0,55,"['funk carioca', 'funk das antigas', 'funk pop']","['br (7)', 'py (1)', 'pt (2)']",br
26,4Y7tXHSEejGu1vQ9bwDdXW,Fatboy Slim,1053950.0,62,['big beat'],['nl (1)'],nl
27,3tzacGOmngxUV8W8lU9h3Q,La Delio Valdez,195859.0,60,['cumbia'],['ar (1)'],ar
28,0okpgBQamDqOZazBeH0J3I,Unknown Brain,291767.0,60,['bass trap'],['sa (1)'],sa
29,4IKVDbCSBTxBeAsMKjAuTs,Armaan Malik,5.0,72,"['desi pop', 'filmi', 'modern bollywood']",['in (14)'],in
30,00sAT5YX8W3xNd1EuqyHw9,Dada Life,416967.0,52,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",['se (2)'],se
31,1IsvL603uF5ieIXYApKcnr,Amjad Ali Khan,279193.0,29,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'sarod']",,
32,2sfSQ1BOzaFQa3LZj6OGwD,josh pan,33996.0,51,"['future bass', 'vapor twitch']",,
33,2hKfWlZLozDVOkReXCYJXq,Mc DB,79505.0,54,"['funk bh', 'funk carioca', 'funk mtg']",,
34,2M9nsWRUhhvYvfZmOYgTwZ,Renato S,1081.0,25,[],"['lv (1)', 'th (1)']",lv
35,0b2GL7Y02vu50qieoQmw1w,IAmChino,82553.0,57,"['cubaton', 'reggaeton']","['ar (1)', 'bo (1)', 'cl (1)', 'co (1)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'mt (1)', 'mx (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (1)', 'uy (1)']",ar
36,3bvfu2KAve4lPHrhEFDZna,Lola Indigo,803644.0,69,"['latin pop', 'spanish pop']","['ar (2)', 'bo (1)', 'cl (2)', 'cr (1)', 'ec (1)', 'sv (1)', 'pa (1)', 'py (1)', 'pe (1)', 'es (26)', 'uy (2)', 'ad (2)']",es
37,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,2423459.0,78,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (12)', 'gb (3)', 'au (4)', 'at (2)', 'be (4)', 'bg (15)', 'ca (9)', 'cr (1)', 'cy (5)', 'cz (1)', 'dk (4)', 'do (2)', 'ee (4)', 'fi (1)', 'fr (1)', 'de (2)', 'gr (6)', 'hk (1)', 'hu (4)', 'is (4)', 'id (1)', 'ie (4)', 'il (3)', 'it (1)', 'jp (1)', 'lv (4)', 'lt (4)', 'lu (6)', 'my (1)', 'mt (4)', 'ma (1)', 'nl (1)', 'nz (4)', 'no (3)', 'pa (1)', 'ph (1)', 'pl (1)', 'pt (3)', 'ro (7)', 'sg (1)', 'sk (4)', 'za (2)', 'se (1)', 'ch (5)', 'tw (1)', 'th (1)', 'tr (1)']",bg
38,3mXI2gpwWnNO9qbQG3n3EP,Lila Downs,380432.0,58,"['latin alternative', 'musica indigena latinoamericana', 'nuevo folklore mexicano', 'oaxaca indie', 'trova']",,
39,0l59CBSPDfKBXlyHya0pew,Gregor Salto,34789.0,51,"['electro house', 'latin house']",,
40,0OmIOUU8SceGFVrqrEm70j,Giovanny Ayala,70908.0,54,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sierreno']","['gt (1)', 'mx (1)']",gt
41,0o3IFcCxiWfIb3kfnHkhPN,HENSY,111733.0,44,"['russian dance', 'russian hip hop', 'russian pop']","['ee (1)', 'lv (1)', 'ru (3)', 'ua (1)']",ru
42,4yYYCSCDUTypErQMZv5iSg,Ray Vaughn,35727.0,49,[],,
43,2QQcLziAzX1VdysI6Mvsl0,Moewgli,5781.0,45,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap pop']",,
44,0koPE9U3b5XYArKa7R2TLm,OFB,246132.0,55,"['uk drill', 'uk hip hop']",['gb (2)'],gb
45,2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,2175330.0,70,"['metalcore', 'modern rock', 'rap metal']",,
46,1yNOfXGQNGjAynk77wv85x,John Lee Hooker,765572.0,57,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",,
47,0VRj0yCOv2FXJNP47XQnx5,Quavo,5898377.0,79,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']","['us (13)', 'gb (2)', 'au (2)', 'at (1)', 'be (1)', 'bg (18)', 'ca (11)', 'cy (2)', 'cz (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (8)', 'hk (1)', 'hu (1)', 'is (5)', 'ie (2)', 'il (2)', 'lv (2)', 'lt (2)', 'lu (7)', 'mt (1)', 'nl (1)', 'nz (2)', 'no (2)', 'pl (1)', 'pt (2)', 'ro (11)', 'sk (1)', 'za (1)', 'se (1)', 'ch (6)', 'tw (1)']",bg
48,25wMXkplvEHJpJHX8A6Ved,lIlBOI,47552.0,53,['k-rap'],['kr (5)'],kr
49,1boMFBiRXiba4RCcPs5DMm,MC Theuzyn,57407.0,52,['funk mtg'],,
50,00TKPo9MxwZ0j4ooveIxWZ,Loote,192676.0,61,"['alt z', 'australian pop', 'dance pop', 'electropop', 'indie poptimism', 'nyc pop', 'pop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house', 'uk pop']","['us (1)', 'be (1)', 'bg (1)', 'ca (1)', 'cy (1)', 'cz (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'id (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'my (2)', 'mt (1)', 'pl (1)', 'pt (1)', 'sg (2)', 'sk (1)', 'ch (1)', 'th (1)', 'vn (1)']",my
51,0KA4BF3xL0wSVEY5ovpEru,Liiljay,6235.0,38,[],,
52,2A3rmRL2kja5NoroAGdZPb,STEIN27,128805.0,52,"['czech hip hop', 'czsk hip hop']","['cz (30)', 'sk (8)']",cz
53,2oCQSda6vA1t27B5RWXYwb,Juno,3787.0,43,"['romanian pop', 'romanian trap']",['ro (2)'],ro
54,3meJIgRw7YleJrmbpbJK6S,Die drei ???,798566.0,85,['hoerspiel'],['de (3)'],de
55,4WJ7gbdxGaECzko0WIUaV8,Chris O'neill,155.0,31,[],,
56,1ZwuShKjJItDJez0aDCsxN,SHELLS,9108.0,55,['uk pop'],,
57,5ISjkNS17JpCwiFtW80lpV,Seeed,767309.0,61,"['german pop', 'german reggae']","['at (5)', 'de (7)', 'lu (3)']",de
58,0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,13690681.0,79,"['desi pop', 'filmi', 'modern bollywood']",['in (6)'],in
59,4hV3aU0WKvFaiX5ugXP5hp,MC MN,32119.0,46,"['funk carioca', 'funk mtg']",['br (1)'],br
60,1Irjtuam0m1mMHcvk5G5sD,Fatbelly,6394.0,34,['kazakh hip hop'],,
61,4NYQDJaodzdKo2HlZPirZe,LIL GLOCK 420,9426.0,49,['viral rap'],,
62,0ZOwmYD7AAgJd3b6jcyik8,Vitya AK,35460.0,41,"['russian gangster rap', 'russian hip hop']","['ru (1)', 'ua (1)']",ru
63,4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,945961.0,66,"['lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'singer-songwriter']",['nl (1)'],nl
64,2FgHPfRprDaylrSRVf1UlN,Thaman S,4639266.0,66,"['filmi', 'tamil pop']",['in (6)'],in
65,2feslzBLWgoLAT5PfH2V9q,PIND,8111.0,42,['danish pop'],['dk (4)'],dk
66,3nqQeOUvDPTu4vtYtPfBjX,Irfane,3908.0,53,[],,
67,3ef2an5giEP6Hc60lKEVEy,Wang,30381.0,50,['greek drill'],['gr (12)'],gr
68,6lPJV4RlngIEnb6OzcwMDL,Elena Temnikova,102755.0,40,"['europop', 'russian dance', 'russian dance pop', 'russian pop']",,
69,5pUo3fmmHT8bhCyHE52hA6,Liam Payne,9765888.0,65,"['dance pop', 'pop', 'post-teen pop', 'uk pop']","['us (5)', 'gb (6)', 'ar (3)', 'au (7)', 'at (7)', 'be (6)', 'bo (3)', 'br (3)', 'bg (5)', 'ca (6)', 'cl (2)', 'co (3)', 'cr (3)', 'cy (7)', 'cz (4)', 'dk (5)', 'do (3)', 'ec (3)', 'sv (3)', 'ee (7)', 'fi (5)', 'fr (3)', 'de (6)', 'gr (5)', 'gt (3)', 'hn (3)', 'hk (5)', 'hu (8)', 'is (3)', 'in (1)', 'id (4)', 'ie (6)', 'il (3)', 'it (3)', 'jp (4)', 'lv (6)', 'lt (8)', 'lu (7)', 'my (5)', 'mt (7)', 'mx (3)', 'nl (5)', 'nz (5)', 'ni (3)', 'no (6)', 'pa (3)', 'py (3)', 'pe (2)', 'ph (4)', 'pl (5)', 'pt (4)', 'ro (5)', 'sg (5)', 'sk (7)', 'es (3)', 'se (5)', 'ch (6)', 'tw (6)', 'th (4)', 'tr (3)', 'ae (1)', 'uy (3)', 'vn (2)']",hu
70,0iBZjEZBg8GsjaBq3lTAvC,Drago200,55091.0,54,"['reggaeton flow', 'trap latino', 'urbano chileno']",['cl (4)'],cl
71,0SmrKFDmVGR8JXzU926kua,4F Music,251.0,25,[],,
72,1vo8zHmO1KzkuU9Xxh6J7W,MOTi,252470.0,65,"['dance pop', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive house', 'tropical house']","['fi (1)', 'lu (1)', 'nl (1)', 'no (1)']",fi
73,3NKKngINK1tP6BFy0WOyWk,Max Styler,18143.0,46,"['brostep', 'deep groove house', 'electro house', 'house', 'pop edm']",['se (1)'],se
74,0zg4soTKKYncxkL8w50WtW,neutral.,1879.0,29,[],,
75,55Aa2cqylxrFIXC767Z865,Lil Wayne,12587804.0,85,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']","['us (41)', 'gb (10)', 'ar (1)', 'au (9)', 'at (5)', 'be (8)', 'bo (1)', 'br (1)', 'bg (14)', 'ca (31)', 'cl (1)', 'co (1)', 'cr (3)', 'cy (9)', 'cz (4)', 'dk (8)', 'do (3)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (8)', 'fi (6)', 'fr (5)', 'de (5)', 'gr (11)', 'gt (1)', 'hn (2)', 'hk (5)', 'hu (5)', 'is (13)', 'id (1)', 'ie (9)', 'il (7)', 'it (3)', 'jp (1)', 'lv (9)', 'lt (8)', 'lu (9)', 'my (5)', 'mt (6)', 'mx (2)', 'ma (1)', 'nl (8)', 'nz (9)', 'ni (1)', 'no (9)', 'pa (3)', 'py (1)', 'pe (1)', 'ph (3)', 'pl (3)', 'pt (7)', 'ro (13)', 'sa (1)', 'sg (5)', 'sk (9)', 'za (1)', 'es (1)', 'se (6)', 'ch (8)', 'tw (3)', 'th (2)', 'tr (2)', 'ae (2)', 'uy (1)', 'vn (1)']",us
76,4uq3HY9rto71MxVGVCZm8G,Architechs,6572.0,44,"['speed garage', 'uk garage']",,
77,2WoVwexZuODvclzULjPQtm,Sampha,572949.0,64,['indie soul'],['gb (1)'],gb
78,15jrieCvf3EklAScnD9kKl,Sak Noel,132841.0,55,['electro house'],"['ar (1)', 'be (1)', 'bo (1)', 'cl (1)', 'cr (1)', 'ec (1)', 'fi (1)', 'gr (1)', 'gt (1)', 'hn (1)', 'mx (1)', 'ma (1)', 'nl (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (2)', 'sg (1)', 'se (1)', 'tr (1)', 'uy (1)']",ph
79,6C0KWmCdqrLU2LzzWBPbOy,Headhunterz,466729.0,60,"['classic hardstyle', 'euphoric hardstyle', 'melbourne bounce international', 'rawstyle']",['nl (1)'],nl
80,1c22GXH30ijlOfXhfLz9Df,Elvis Crespo,855289.0,64,"['latin pop', 'tropical']","['gt (1)', 'hn (1)', 'ni (1)']",gt
81,4z19QMyPVRwbd4Fs2LisBa,Darkiel,1057752.0,64,"['reggaeton', 'reggaeton flow', 'trap latino']",['cl (2)'],cl
82,2kCcBybjl3SAtIcwdWpUe3,Lil Peep,8967975.0,82,"['emo rap', 'lgbtq+ hip hop']","['us (14)', 'gb (10)', 'ar (1)', 'au (5)', 'at (11)', 'be (2)', 'bo (1)', 'br (1)', 'bg (16)', 'ca (10)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (8)', 'cz (27)', 'dk (6)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (29)', 'fi (15)', 'fr (2)', 'de (10)', 'gr (11)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (16)', 'is (13)', 'id (1)', 'ie (7)', 'il (1)', 'it (1)', 'jp (1)', 'lv (31)', 'lt (22)', 'lu (10)', 'my (1)', 'mt (11)', 'mx (1)', 'nl (1)', 'nz (6)', 'ni (1)', 'no (9)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (21)', 'pt (4)', 'ro (14)', 'ru (4)', 'sg (2)', 'sk (30)', 'es (1)', 'se (10)', 'ch (7)', 'tw (2)', 'th (1)', 'tr (1)', 'ua (5)', 'uy (1)', 'vn (1)']",lv
83,1owCC0eLSdPUND3qAAFEmv,Kokiri,12611.0,36,"['deep groove house', 'house']",,
84,0pcoadNMmvrUyab1RxWBoV,MC Hariel,3458372.0,74,"['funk carioca', 'funk consciente', 'funk paulista']","['br (6)', 'pt (2)']",br
85,1c61yiH4iYE7cHtjAYSUu3,Banky W.,151596.0,39,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'nigerian pop']",,
86,0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,11123144.0,78,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']","['us (11)', 'gb (14)', 'ar (3)', 'au (8)', 'at (11)', 'be (10)', 'bo (4)', 'br (11)', 'bg (9)', 'ca (10)', 'cl (3)', 'co (4)', 'cr (4)', 'cy (6)', 'cz (12)', 'dk (8)', 'do (4)', 'ec (4)', 'eg (2)', 'sv (4)', 'ee (13)', 'fi (17)', 'fr (4)', 'de (11)', 'gr (10)', 'gt (4)', 'hn (4)', 'hk (13)', 'hu (12)', 'is (8)', 'in (5)', 'id (6)', 'ie (12)', 'il (3)', 'it (8)', 'jp (2)', 'lv (11)', 'lt (11)', 'lu (7)', 'my (13)', 'mt (9)', 'mx (4)', 'ma (1)', 'nl (8)', 'nz (12)', 'ni (4)', 'no (17)', 'pa (4)', 'py (4)', 'pe (4)', 'ph (9)', 'pl (11)', 'pt (12)', 'ro (3)', 'sa (1)', 'sg (12)', 'sk (12)', 'za (3)', 'es (5)', 'se (11)', 'ch (13)', 'tw (16)', 'th (4)', 'tr (5)', 'ae (3)', 'uy (3)', 'vn (6)', 'ad (1)']",fi
87,0Twk7swVpScH341g40BIbO,SAya,14730.0,37,['korean ost'],,
88,3DnNQH13SfSOjZDsVEa0ht,Liu,228339.0,58,['brazilian edm'],['br (1)'],br
89,4MswQnojZK1oRaxNsACqjv,Wookie,16665.0,39,"['uk funky', 'uk garage']",,
90,1sLYZv95ZXwVfyGHan5w45,Jaykae,195325.0,56,"['birmingham grime', 'birmingham hip hop', 'grime', 'uk hip hop']",['gb (1)'],gb
91,2rUOBAmeKcpfmd83cIj5Au,Dj Batata,25119.0,49,"['funk carioca', 'funk das antigas', 'funk mtg', 'funk ostentacao']","['bo (1)', 'py (1)']",bo
92,02uYdhMhCgdB49hZlYRm9o,Eagles Of Death Metal,494320.0,54,"['alternative rock', 'blues rock', 'garage rock', 'garage rock revival', 'modern blues rock', 'modern rock', 'palm desert scene', 'rock']","['be (1)', 'pt (1)']",be
93,002eDhqXlxtQHdaIKXyf3H,Blaklez,40657.0,27,"['kasi rap', 'south african hip hop']",,
94,0LhHRmSd1EYM5QdNeNnCoQ,Darude,157635.0,58,"['eurodance', 'europop', 'finnish edm', 'trance']",['fi (5)'],fi
95,0JnDkp29FlLpGwsnub400t,Kamufle,150510.0,44,"['turkish hip hop', 'turkish trap pop']",['tr (4)'],tr
96,35vsCsMdgbOroCgADBadfR,Marika,20059.0,33,"['polish alternative', 'polish reggae']",['pl (1)'],pl
97,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,65590075.0,90,"['canadian pop', 'pop']","['us (58)', 'gb (51)', 'ar (29)', 'au (54)', 'at (44)', 'be (46)', 'bo (23)', 'br (32)', 'bg (40)', 'ca (62)', 'cl (25)', 'co (25)', 'cr (27)', 'cy (31)', 'cz (39)', 'dk (66)', 'do (32)', 'ec (26)', 'eg (11)', 'sv (27)', 'ee (42)', 'fi (46)', 'fr (27)', 'de (42)', 'gr (34)', 'gt (28)', 'hn (29)', 'hk (50)', 'hu (41)', 'is (64)', 'in (17)', 'id (24)', 'ie (45)', 'il (14)', 'it (33)', 'jp (17)', 'lv (33)', 'lt (38)', 'lu (45)', 'my (55)', 'mt (28)', 'mx (26)', 'ma (17)', 'nl (56)', 'nz (53)', 'ni (23)', 'no (57)', 'pa (39)', 'py (27)', 'pe (21)', 'ph (39)', 'pl (34)', 'pt (44)', 'ro (14)', 'ru (3)', 'sa (12)', 'sg (51)', 'sk (53)', 'za (29)', 'kr (27)', 'es (26)', 'se (48)', 'ch (53)', 'tw (43)', 'th (19)', 'tr (20)', 'ua (8)', 'ae (27)', 'uy (30)', 'vn (21)', 'ad (4)']",dk
98,0ExOaVFeqJBe9niEG4HZAX,Schuster,25591.0,41,"['pop chileno', 'reggaeton chileno']",['cl (3)'],cl
99,1XGTgBBrLnDeKsrr354Nza,Shimmi,109.0,39,[],,
100,1GAymyGBvB4gQy5Z5LZ1Wj,Lalo Ebratt,1798088.0,66,"['colombian hip hop', 'dominican pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']","['ar (2)', 'bo (4)', 'cl (3)', 'co (7)', 'cr (3)', 'do (3)', 'ec (4)', 'sv (3)', 'gt (4)', 'hn (3)', 'mt (1)', 'mx (2)', 'ni (3)', 'pa (4)', 'py (4)', 'pe (4)', 'es (4)', 'uy (3)']",co
101,2e7yDxnK4osy7nKhnqrOFM,Anacondaz,112968.0,46,"['russian hip hop', 'russian rock']",['ru (10)'],ru
102,56FObtReljLqgs2bgQ0kZS,Sole Gimenez,53243.0,39,"['cantautor', 'spanish pop']",['es (1)'],es
103,0wGBm2CPjVcX983nxL0iTy,Kabliz,14177.0,38,['panamanian pop'],['pa (2)'],pa
104,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4503839.0,78,"['neo mellow', 'pop', 'uk pop']","['gb (3)', 'au (3)', 'at (2)', 'be (1)', 'ca (1)', 'cy (1)', 'cz (2)', 'dk (3)', 'ee (3)', 'fi (2)', 'de (1)', 'gr (2)', 'hk (1)', 'hu (1)', 'is (1)', 'id (3)', 'ie (3)', 'lv (3)', 'lt (3)', 'lu (2)', 'my (4)', 'mt (3)', 'nl (2)', 'nz (3)', 'no (3)', 'ph (2)', 'pt (2)', 'sg (3)', 'sk (2)', 'za (1)', 'se (4)', 'ch (2)', 'tw (3)', 'th (1)', 'ae (2)', 'vn (4)']",my
105,03EzxVCCA9InVQzkkhjKZI,Sarah Corry,93.0,22,[],,
106,0W8WpLB5WoXLgiA193LXk6,Sun-El Musician,533088.0,50,"['afro house', 'afro soul', 'south african alternative', 'south african pop', 'south african pop dance']",['za (4)'],za
107,0Hl7eFs2Jcti4isY5n9qSx,Enmeris,3667.0,24,['ritmo kombina'],,
108,13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,2395709.0,66,"['contemporary country', 'country', 'country road']",['ca (1)'],ca
109,1udruffum7CorOphFUMB9A,Kato,119802.0,50,"['danish electronic', 'danish hip hop', 'danish pop']","['gb (1)', 'at (1)', 'dk (13)', 'de (1)', 'ie (1)', 'lt (1)']",dk
110,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,26039960.0,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']","['us (40)', 'gb (22)', 'ar (5)', 'au (19)', 'at (9)', 'be (14)', 'bo (4)', 'br (7)', 'bg (29)', 'ca (31)', 'cl (5)', 'co (5)', 'cr (5)', 'cy (15)', 'cz (10)', 'dk (7)', 'do (8)', 'ec (4)', 'eg (1)', 'sv (5)', 'ee (15)', 'fi (13)', 'fr (5)', 'de (11)', 'gr (23)', 'gt (3)', 'hn (6)', 'hk (11)', 'hu (14)', 'is (12)', 'in (2)', 'id (1)', 'ie (17)', 'il (6)', 'it (5)', 'jp (1)', 'lv (13)', 'lt (15)', 'lu (14)', 'my (11)', 'mt (12)', 'mx (3)', 'ma (2)', 'nl (10)', 'nz (18)', 'ni (4)', 'no (13)', 'pa (6)', 'py (4)', 'pe (3)', 'ph (9)', 'pl (10)', 'pt (13)', 'ro (16)', 'sa (4)', 'sg (12)', 'sk (17)', 'za (11)', 'kr (2)', 'es (5)', 'se (13)', 'ch (16)', 'tw (13)', 'th (6)', 'tr (8)', 'ae (4)', 'uy (4)', 'vn (8)']",us
111,1Ba4dhPqLWmwj3Fwf9oWDs,Red Band,32448.0,39,['israeli rock'],['il (1)'],il
