,id,name,followers,popularity,genres,chart_hits,top_chart,x,y,degree
15789,3NpkkvYFWSFAazQIF7NYbB,Josef,2482.0,43,['danish pop'],['dk (3)'],dk,-19853.385242379223,2767.3147845164676,1
15790,1ZvtTaNp6MzFp0a69FB2xZ,DukeeMdz,56147.0,48,"['rap espanol', 'urbano espanol']",,,-9664.362723390117,2557.0768403658817,1
15791,3LpFXwJ6CtWXPuXB9eRSUV,Paperboys,22006.0,34,"['norwegian hip hop', 'norwegian rock']",['no (1)'],no,-17771.22441302464,7976.32470737818,3
15792,2IP71LH7CbwddhsEXBI0fy,1991,29299.0,50,"['bass house', 'dancefloor dnb', 'drum and bass']",,,-19162.222025161238,3392.3651831267994,7
15793,0EApsGQMdUG9H7HYgq7Dcy,Tony Raw,2285.0,26,['greek trap'],['gr (1)'],gr,-22347.91986263638,16151.925243652544,15
15794,1Y99HOeRzRc27my6NJE3rE,Natalie Perez,197087.0,60,"['argentine telepop', 'cumbia pop', 'pop argentino']","['ar (2)', 'uy (2)']",ar,-13105.806928697963,2425.9735840425014,9
15795,2EXyFi044jp9OSnIceS0cV,Hueco Prods,214.0,37,[],,,-13165.22852302908,2601.3091540128453,2
15796,3uPB5v8cgvDpoFySvjyMAx,St Luca Spenish,2833.0,29,['italian underground hip hop'],,,-19486.425542761903,2689.593834314599,1
15797,2hsun1GbceH62Hhcj7cp2V,Bridget Kelly,41845.0,35,[],,,-19349.530832648015,5339.061567537607,2
15798,68gYAqni9tSrACmLCp4qoM,Janice Vidal,170492.0,52,"['c-pop', 'cantopop']",['hk (28)'],hk,-22206.83948022569,3895.6824562243023,13
15799,2LmyJyCF5V1eQyvHgJNbTn,Leonard Bernstein,175584.0,59,"['american modern classical', 'classical', 'classical performance', 'orchestral performance']",,,-21908.03453976729,10833.728133811304,8
15800,5FRbx6DhrJm4IXMN72bVVN,ColBreakz,57624.0,39,['speedrun'],,,-19957.404642507405,4626.232001368473,2
15801,28UDeKu2FPrU0T7dpUiSGY,Dexta Daps,263031.0,54,"['dancehall', 'riddim']",,,-18414.91837327199,3391.781546653439,7
15802,4lC4PFEPzE3zwSqeLtuY0w,Pedrito Vm,73751.0,27,[],,,-10273.788930225055,1686.8392676136402,1
15803,1HXkVBU6RwIxxN6xuI6b00,Squash,101569.0,47,"['dancehall', 'traphall', 'trinibad']",,,-17237.93260231519,3897.2893311861194,2
15804,3qsKSpcV3ncke3hw52JSMB,Young Miko,51086.0,59,['trap latino'],,,-14505.19539532045,3784.2121972513064,6
15805,1XoE8WpGuDGZ0SY1piWND1,Sam Pounds,16.0,20,[],,,-18634.131470388744,4585.845676565694,1
15806,59m9stUzPJ3i5hPsU8BQzl,Bianca Barros,538.0,23,['portuguese pop'],,,-14209.735231179779,6467.785238036794,1
15807,08C4m48uN8PsFIPgTS1KqK,Jeffrey Tate,1386.0,43,['orchestral performance'],,,-26128.376036130467,16107.764415628522,1
15808,1X8wFHJFucBUmBc7spQ4jP,The Edge,8840.0,51,[],,,-18767.704735115305,5690.675631186618,2
15809,3cKD8x85OnB9pu8T8k5GYe,Aretuza Lovi,298013.0,40,"['funk carioca', 'pop lgbtq+ brasileira']",['br (1)'],br,-10545.331410495879,6478.9231397947515,10
15810,6JW55AQgf9M9SZgzZou2NQ,Mataya,1105.0,48,[],,,-19925.035079353325,4668.194792499041,2
